source,target,type
0,1,2
0,2,2
0,3,2
0,5,2
0,7,2
0,9,2
0,10,2
0,11,2
0,13,2
0,14,2
0,17,2
0,18,2
0,19,2
0,20,2
0,22,2
0,23,2
0,25,2
0,28,2
0,32,2
0,36,2
0,38,2
0,44,2
0,45,2
0,47,2
0,50,2
0,57,2
0,60,2
0,61,2
0,68,2
0,71,2
0,77,2
0,78,2
0,86,2
0,88,2
0,91,2
0,98,2
0,103,2
0,107,2
0,110,2
0,116,2
0,118,2
0,122,2
0,130,2
0,139,2
0,140,2
0,90,2
0,29,2
0,109,2
0,15,2
0,142,2
0,54,2
0,185,2
0,69,1
0,27,1
0,97,1
0,24,1
1,0,2
1,3,2
1,4,2
1,6,2
1,7,2
1,8,2
1,15,2
1,17,2
1,21,2
1,27,2
1,28,2
1,43,2
1,45,2
1,49,2
1,65,2
1,67,2
1,75,2
1,78,2
1,97,2
1,99,2
1,106,2
1,112,2
1,125,2
1,133,2
1,137,2
1,140,2
1,141,2
1,143,2
1,156,2
1,175,2
1,177,2
1,189,2
1,195,2
1,196,2
1,199,2
1,32,2
1,59,2
1,139,2
1,103,2
1,155,2
1,172,1
2,0,2
2,4,2
2,16,2
2,41,2
2,57,2
2,79,2
2,102,2
2,166,2
2,175,2
2,192,2
2,198,2
2,165,2
2,140,2
2,8,2
2,5,2
2,69,2
2,169,1
2,72,1
2,26,1
3,0,2
3,1,2
3,8,2
3,30,2
3,58,2
3,190,1
3,152,1
3,109,1
3,74,1
3,119,1
4,1,2
4,2,2
4,5,2
4,6,2
4,12,2
4,13,2
4,15,2
4,16,2
4,18,2
4,19,2
4,23,2
4,30,2
4,36,2
4,40,2
4,53,2
4,62,2
4,64,2
4,69,2
4,74,2
4,80,2
4,83,2
4,86,2
4,87,2
4,93,2
4,99,2
4,102,2
4,114,2
4,117,2
4,154,2
4,157,2
4,174,2
4,180,2
4,192,2
4,194,2
4,45,2
4,109,2
4,66,2
4,25,2
4,129,2
4,31,2
4,3,1
4,57,1
4,22,1
4,37,1
4,20,1
5,0,2
5,4,2
5,11,2
5,12,2
5,22,2
5,24,2
5,30,2
5,33,2
5,34,2
5,39,2
5,42,2
5,62,2
5,67,2
5,135,2
5,2,2
5,82,2
5,155,1
5,199,1
6,1,2
6,4,2
6,9,2
6,29,2
6,31,2
6,37,2
6,50,2
6,55,2
6,60,2
6,82,2
6,101,2
6,105,2
6,110,2
6,115,2
6,133,2
6,143,2
6,148,2
6,154,2
6,161,2
6,182,2
6,191,2
6,47,2
6,10,1
6,5,1
7,0,2
7,1,2
7,59,2
7,129,2
7,123,2
7,4,1
7,183,1
7,60,1
7,191,1
7,6,1
7,2,1
8,1,2
8,3,2
8,10,2
8,14,2
8,20,2
8,26,2
8,117,2
8,121,2
8,2,2
8,75,1
8,82,1
8,141,1
8,50,1
9,0,2
9,6,2
9,104,2
9,124,2
9,149,2
9,156,1
9,25,1
9,1,1
9,127,1
9,172,1
9,199,1
10,0,2
10,8,2
10,32,2
10,51,2
10,58,2
10,85,2
10,95,2
10,105,2
10,108,2
10,121,2
10,13,2
10,25,1
10,169,1
10,165,1
11,0,2
11,5,2
11,61,2
11,31,2
11,109,1
11,16,1
11,44,1
11,88,1
11,42,1
11,1,1
12,4,2
12,5,2
12,37,2
12,84,2
12,29,2
12,46,2
12,70,1
12,172,1
12,137,1
12,23,1
12,96,1
12,18,1
13,0,2
13,4,2
13,26,2
13,40,2
13,116,2
13,128,2
13,70,2
13,33,2
13,183,2
13,61,2
13,10,2
13,2,1
13,18,1
13,5,1
13,6,1
13,136,1
14,0,2
14,8,2
14,123,2
14,134,2
14,149,2
14,82,2
14,75,1
14,23,1
14,2,1
14,147,1
14,51,1
14,6,1
15,1,2
15,4,2
15,46,2
15,47,2
15,73,2
15,118,2
